n;naive;better;gsl
100;0.000634;0.000487;0.000648
100;0.000657;0.000600;0.000490
100;0.000589;0.000493;0.000509
100;0.000658;0.000529;0.000581
100;0.000585;0.000637;0.000542
100;0.000502;0.000493;0.000507
100;0.000502;0.000496;0.000573
100;0.000606;0.000494;0.000623
100;0.000494;0.000502;0.000501
100;0.000601;0.000646;0.000653
200;0.004968;0.004414;0.004295
200;0.004898;0.004077;0.004177
200;0.005429;0.004162;0.004272
200;0.004995;0.004039;0.004107
200;0.004683;0.004007;0.004088
200;0.005051;0.003992;0.004123
200;0.004765;0.004008;0.004131
200;0.004768;0.004030;0.004107
200;0.004778;0.003999;0.004075
200;0.004899;0.003899;0.004131
300;0.016799;0.013496;0.013551
300;0.016782;0.013407;0.013634
300;0.016956;0.013380;0.013575
300;0.017779;0.013322;0.013547
300;0.016757;0.013531;0.013621
300;0.016691;0.013477;0.013495
300;0.017160;0.014318;0.014832
300;0.016912;0.013661;0.013841
300;0.017637;0.015061;0.014361
300;0.017923;0.013784;0.013645
400;0.041899;0.033421;0.032742
400;0.040830;0.032396;0.033164
400;0.043012;0.033128;0.033163
400;0.040994;0.032876;0.033067
400;0.042134;0.031017;0.031800
400;0.040411;0.033408;0.033245
400;0.041529;0.031539;0.031919
400;0.041305;0.033450;0.032163
400;0.042907;0.031986;0.032007
400;0.041617;0.031851;0.032074
500;0.094897;0.062163;0.062932
500;0.095998;0.061921;0.062466
500;0.095568;0.062569;0.062467
500;0.096587;0.062666;0.062541
500;0.094949;0.061928;0.062445
500;0.097430;0.062504;0.062402
500;0.093956;0.061122;0.062548
500;0.091087;0.064963;0.064218
500;0.095290;0.061963;0.061437
500;0.092186;0.061766;0.062081
600;0.162158;0.106898;0.106911
600;0.167117;0.109253;0.107103
600;0.167013;0.106961;0.106971
600;0.167048;0.106686;0.108805
600;0.165237;0.107634;0.108693
600;0.165640;0.108033;0.108679
600;0.168827;0.108110;0.107321
600;0.166566;0.107258;0.106971
600;0.166252;0.107751;0.108353
600;0.173608;0.107406;0.107563
700;0.269473;0.170112;0.179053
700;0.267719;0.176425;0.172614
700;0.259196;0.173773;0.173825
700;0.269929;0.176724;0.175094
700;0.272966;0.174106;0.181055
700;0.269790;0.171862;0.174511
700;0.259825;0.167865;0.175847
700;0.273926;0.175113;0.173946
700;0.267946;0.169269;0.179296
700;0.273839;0.178678;0.179488
800;0.411828;0.254556;0.263456
800;0.415847;0.259033;0.273144
800;0.412323;0.260157;0.266244
800;0.416642;0.259237;0.270785
800;0.430396;0.258166;0.266807
800;0.402788;0.258502;0.280163
800;0.558156;0.283899;0.324737
800;0.460802;0.312013;0.305751
800;0.436997;0.274343;0.321610
800;0.509895;0.301813;0.323017
900;0.863802;0.427817;0.423609
900;0.728699;0.427030;0.407808
900;0.632628;0.389782;0.387729
900;0.621775;0.387605;0.388900
900;0.625821;0.417145;0.462939
900;0.905898;0.455067;0.464705
900;0.901902;0.458483;0.457342
900;0.785780;0.405391;0.415574
900;0.964396;0.444682;0.457688
900;0.700667;0.382845;0.385071
1000;1.043455;0.557787;0.553621
1000;1.033308;0.556404;0.571817
1000;1.013619;0.548216;0.551509
1000;1.009428;0.551641;0.555317
1000;1.011436;0.550729;0.556858
1000;1.013858;0.537373;0.562824
1000;1.020821;0.547178;0.566580
1000;1.007899;0.545916;0.550207
1000;1.028650;0.550047;0.550426
1000;1.024925;0.548375;0.559097
