n;naive;better;gsl
10;0.001143;0.000999;0.004970
10;0.000046;0.000058;0.000026
10;0.000045;0.000060;0.000026
10;0.000044;0.000057;0.000026
10;0.000043;0.000059;0.000026
10;0.000044;0.000058;0.000025
10;0.000044;0.000057;0.000025
10;0.000046;0.000057;0.000025
10;0.000044;0.000070;0.000025
10;0.000044;0.000058;0.000025
20;0.000295;0.000404;0.000175
20;0.000295;0.000412;0.000173
20;0.000303;0.000404;0.000177
20;0.000304;0.000404;0.000181
20;0.000295;0.000412;0.000173
20;0.000335;0.000405;0.000176
20;0.000296;0.000404;0.000181
20;0.000373;0.000577;0.000185
20;0.000295;0.000420;0.000184
20;0.000296;0.000501;0.000174
30;0.001075;0.001513;0.000581
30;0.001063;0.001354;0.000564
30;0.001050;0.001360;0.000571
30;0.001076;0.001718;0.000608
30;0.001066;0.001498;0.000566
30;0.000993;0.001429;0.000568
30;0.001072;0.001366;0.000566
30;0.001063;0.001478;0.000569
30;0.001018;0.001554;0.001019
30;0.001037;0.001349;0.000577
40;0.002426;0.003431;0.001420
40;0.002399;0.003308;0.001475
40;0.002464;0.003343;0.001469
40;0.002691;0.004055;0.001864
40;0.003807;0.005553;0.002352
40;0.006243;0.005668;0.002348
40;0.004071;0.005639;0.002300
40;0.004031;0.005860;0.002417
40;0.004049;0.005532;0.002346
40;0.004017;0.005525;0.002347
50;0.007928;0.010837;0.004498
50;0.007798;0.010764;0.004596
50;0.007806;0.010969;0.004560
50;0.007759;0.010816;0.006870
50;0.007736;0.010819;0.004585
50;0.007874;0.010804;0.004485
50;0.007775;0.010795;0.004691
50;0.007807;0.010927;0.004530
50;0.007866;0.010830;0.004507
50;0.007864;0.010852;0.004594
60;0.016173;0.018656;0.007749
60;0.013491;0.018925;0.007772
60;0.013511;0.018952;0.007895
60;0.013483;0.018629;0.007765
60;0.013511;0.021024;0.007777
60;0.013437;0.018888;0.007897
60;0.013632;0.018602;0.007814
60;0.013730;0.018796;0.007753
60;0.013564;0.018735;0.010196
60;0.013811;0.019768;0.008130
70;0.021495;0.029897;0.012361
70;0.021571;0.029678;0.012351
70;0.024175;0.029578;0.012376
70;0.021354;0.029569;0.012544
70;0.021292;0.029800;0.012271
70;0.023505;0.029661;0.012231
70;0.020960;0.029707;0.012331
70;0.021081;0.029638;0.012277
70;0.023637;0.029653;0.012190
70;0.021500;0.029697;0.012297
80;0.031618;0.043842;0.017810
80;0.031748;0.044286;0.018473
80;0.031903;0.043971;0.018393
80;0.033798;0.044308;0.018187
80;0.031550;0.044306;0.018294
80;0.031916;0.046444;0.017793
80;0.031631;0.043145;0.018130
80;0.031629;0.044375;0.018197
80;0.031558;0.042792;0.018371
80;0.032045;0.044182;0.018400
90;0.048141;0.062532;0.025827
90;0.044758;0.061869;0.025717
90;0.046984;0.062734;0.025616
90;0.044139;0.062215;0.025063
90;0.044717;0.061980;0.025036
90;0.043911;0.060611;0.027194
90;0.044164;0.060955;0.024891
90;0.043520;0.061086;0.027543
90;0.043787;0.060861;0.025568
90;0.044651;0.061447;0.027973
100;0.060571;0.083611;0.034680
100;0.061796;0.085530;0.035607
100;0.061850;0.087201;0.038189
100;0.060494;0.083121;0.034847
100;0.059988;0.085927;0.034893
100;0.060997;0.084678;0.034715
100;0.063248;0.083127;0.034213
100;0.058805;0.084548;0.037234
100;0.060046;0.082356;0.034267
100;0.060239;0.088280;0.035284
